Depth,Duration,Period,SNR,Even_Odd_Ratio,Secondary_Eclipse,Noise_Level,Transit_Shape,Label
0.0056,2.46,12.71,24.73,1.02,0,0.046,U,Planet
0.0198,1.61,6.5,14.65,1.01,0,0.032,U,Planet
0.0675,8.71,24.47,2.08,0.82,1,0.054,V,False Positive
0.0289,2.68,6.45,11.93,1.03,0,0.034,U,Planet
0.0232,3.38,48.71,17.57,1.01,0,0.043,U,Planet
0.1281,9.64,2.33,4.96,0.62,0,0.09,V,False Positive
0.0773,9.09,11.58,6.81,0.58,1,0.079,Smooth,False Positive
0.0202,2.1,37.0,13.27,0.99,0,0.05,U,Planet
0.0221,4.45,39.25,14.58,0.95,0,0.023,U,Planet
0.0413,11.31,17.45,11.33,0.59,1,0.058,Smooth,False Positive
0.0543,5.12,22.6,9.01,0.8,1,0.093,Irregular,False Positive
0.0673,11.98,15.78,3.18,0.52,0,0.041,V,False Positive
0.1314,7.08,18.28,8.08,0.6,0,0.078,V,False Positive
0.1607,6.72,9.51,4.06,0.5,1,0.098,V,False Positive
0.0268,2.54,32.67,22.18,0.97,0,0.041,U,Planet
0.02,3.21,7.37,17.26,1.05,0,0.042,U,Planet
0.0064,4.57,47.45,11.71,1.0,0,0.013,U,Planet
0.0082,3.16,28.39,15.3,1.04,0,0.027,U,Planet
0.0282,4.14,35.11,24.26,0.99,0,0.037,U,Planet
0.1045,8.14,4.51,4.92,0.64,0,0.071,V,False Positive
0.0227,1.71,5.24,10.63,0.98,0,0.031,U,Planet
0.1437,5.71,4.84,14.16,0.73,1,0.047,Irregular,False Positive
0.0624,4.78,13.5,7.51,0.69,0,0.077,Smooth,False Positive
0.0065,4.05,40.43,12.19,0.97,0,0.031,U,Planet
0.0155,2.47,13.99,28.47,0.99,0,0.044,U,Planet
0.0063,5.0,42.13,29.38,1.04,0,0.044,U,Planet
0.0152,3.18,43.5,28.05,0.97,0,0.01,U,Planet
0.0751,10.27,14.2,7.5,0.88,1,0.041,Irregular,False Positive
0.0292,3.53,28.03,24.96,0.96,0,0.033,U,Planet
0.0064,3.28,42.86,11.37,0.96,0,0.044,U,Planet
0.0504,11.12,8.14,9.73,0.75,1,0.076,Smooth,False Positive
0.1889,5.63,21.77,5.1,0.66,1,0.062,V,False Positive
0.0165,4.99,49.81,11.47,0.97,0,0.021,U,Planet
0.1797,11.03,11.72,4.05,0.83,1,0.073,Smooth,False Positive
0.0217,3.44,46.72,12.07,1.04,0,0.021,U,Planet
0.0236,2.04,15.52,14.21,0.98,0,0.037,U,Planet
0.1159,6.01,27.34,2.66,0.75,1,0.033,Irregular,False Positive
0.0209,2.42,37.58,21.03,0.99,0,0.01,U,Planet
0.0286,3.92,9.15,10.72,0.99,0,0.032,U,Planet
0.0517,6.47,27.07,12.35,0.84,1,0.045,V,False Positive
0.0138,3.46,43.99,29.48,1.02,0,0.047,U,Planet
0.0266,4.92,40.92,27.63,0.95,0,0.039,U,Planet
0.163,7.29,20.43,11.56,0.6,0,0.085,V,False Positive
0.1783,10.87,7.45,12.62,0.68,1,0.087,V,False Positive
0.0056,2.18,17.76,27.29,1.05,0,0.021,U,Planet
0.1455,10.75,10.6,2.36,0.85,1,0.042,Irregular,False Positive
0.0077,3.02,36.97,16.27,1.01,0,0.03,U,Planet
